Data,Temp Med,Temp Max,Temp Min,Chuva,UR
05/01/2020,23.8,31.2,20.7,25.4,60.75
06/01/2020,26.8,33.9,21.1,0.6,62.29
07/01/2020,24.7,28,22.8,32.6,65.08
08/01/2020,25.7,31.1,22.6,28.2,70.75
09/01/2020,24.2,28.7,22.5,32.6,72.13
10/01/2020,25.8,32.3,22.2,10.4,71.54
11/01/2020,26.3,33,24,8.2,68.38
12/01/2020,26,33.6,22.8,61,70.29
13/01/2020,24.7,30.1,22.4,57.2,70.71
14/01/2020,26.4,32.9,21.9,0.2,68.83
15/01/2020,29.3,35.3,24.2,0,65.25
16/01/2020,29.1,36,25.2,9,61.79
17/01/2020,26.2,30.6,23.3,0,62.29
18/01/2020,25.3,31.3,19.8,0,57.88
19/01/2020,26.4,32.9,20.6,0,58.83
20/01/2020,27.7,33.4,22.7,0,58.21
21/01/2020,27.1,32.7,21.4,0,54.88
22/01/2020,24.9,30.2,21.7,111,56.38
23/01/2020,22.2,24.2,20.5,3.4,67.08
24/01/2020,25,29.8,20.4,0.2,65.63
25/01/2020,25.6,31.5,20.5,0,59
26/01/2020,26.8,33.8,19.4,0,56.13
27/01/2020,27.9,34.7,19.2,0,52.88
28/01/2020,28.4,34.7,21.6,0,50.96
29/01/2020,26.7,32.8,23.4,0,53.83
30/01/2020,25.6,31.7,23.2,15.4,61.75
31/01/2020,25.8,30.8,22.7,2.4,63.88
01/02/2020,25.8,31.1,23,29.8,64.08
02/02/2020,24,27.8,21.4,19.6,65.96
03/02/2020,23.4,28.3,21.3,38.6,69.54
04/02/2020,24.6,30.6,21,0.2,70.88
05/02/2020,26.2,30.9,23.2,0,71.08
06/02/2020,25.8,29.9,22.8,0,67.67
07/02/2020,25.3,30.9,22.2,0,65
08/02/2020,25.3,30.7,21.4,1,63.58
09/02/2020,24.9,28.3,22.6,4.8,66.42
10/02/2020,24.8,29.2,22.7,3,70.71
11/02/2020,23.6,26.9,20.8,0,65.21
12/02/2020,24.3,30.1,18.6,0,61.04
13/02/2020,25.1,31.1,19.3,0,56.75
14/02/2020,25.9,32.4,19.6,0,56.83
15/02/2020,28.1,34.6,22,0,55.83
16/02/2020,29.2,35.8,21.8,0,53.88
17/02/2020,27.8,34.7,24.9,10,57.25
18/02/2020,26.8,33.9,23.5,0,62.25
19/02/2020,27.6,33.2,23.2,0,63.88
20/02/2020,26.6,32.4,23.9,0,62
21/02/2020,25.8,28.8,23.6,2,64.88
22/02/2020,25.7,32.3,23.1,0.6,63.88
23/02/2020,23.9,28.7,19.3,0.4,59.46
24/02/2020,24.9,29.5,20.9,0.2,60.21
25/02/2020,24.7,29.6,22.6,55,66.92
26/02/2020,23.6,26.3,22.1,23.8,69.04
27/02/2020,24.2,29.6,20.8,0.2,67
28/02/2020,24.4,30.3,18.6,0,59.67
29/02/2020,24.2,29.6,18.1,0,55.5
01/03/2020,24.1,30.2,19.2,0,55.58
02/03/2020,22.4,29.4,19.7,7,57.13
03/03/2020,23.9,29.9,18.8,0,60.33
04/03/2020,24.3,30.8,18.3,0,57.42
05/03/2020,25.2,32.1,19.6,0,56.5
06/03/2020,25.2,31.6,19.7,0,53
07/03/2020,25.5,32,19.6,0,49.71
08/03/2020,25.2,31.4,19.3,0,49.5
09/03/2020,25.6,32.6,20.1,0,50.83
10/03/2020,27.1,34,20.6,0,51.38
11/03/2020,28.1,33.4,22.2,0,51.92
12/03/2020,28.9,34.6,22.8,0,51.71
13/03/2020,28.7,35.8,22.8,0,49.33
14/03/2020,27.9,35.7,21.5,0,47.92
15/03/2020,28.8,35.6,23.6,0,50.21
16/03/2020,27.9,33.9,21.8,0,51.75
17/03/2020,28.4,33.9,23.2,0,53.33
18/03/2020,27.8,33.9,20.9,8.4,56.29
19/03/2020,25.4,31.7,20.7,5.8,60.25
20/03/2020,24.2,28.9,22.2,0.6,62.54
21/03/2020,25.4,31.1,22,2.8,63.33
22/03/2020,25.9,31.9,20.4,0,55.04
23/03/2020,24.7,30.7,18.7,0,48.92
24/03/2020,25.1,30.9,18.9,0,49.88
25/03/2020,24.9,31,19.1,0,48.38
26/03/2020,25,31.7,18.9,0,46.29
27/03/2020,26.1,31.8,20,0,48.75
28/03/2020,26.7,33.2,20.9,0,51.04
29/03/2020,22.8,26.8,20.4,29.4,59.79
30/03/2020,23.9,29.5,20.5,0.2,64
31/03/2020,25.8,32.4,20.3,0.2,59.71
01/04/2020,26.3,33.2,19.7,0,54.25
02/04/2020,27.2,34,20.7,0,54.5
03/04/2020,23.6,29.3,16.4,0,55.96
04/04/2020,21.6,30,13.4,0,47.79
05/04/2020,25.1,33.1,17.2,0,48.96
06/04/2020,26.8,34.5,19.5,31.8,51.29
07/04/2020,22.7,28.4,19.2,11.2,59.92
08/04/2020,23.7,29.8,19.7,0.2,59.67
09/04/2020,22.2,28.2,17.5,0,55.71
10/04/2020,22.8,29.4,17.1,0.2,55.17
11/04/2020,23,30.1,17.1,0,54.79
12/04/2020,23.7,29.8,17.8,0,53.67
13/04/2020,25.1,31.2,18.7,0,51.67
14/04/2020,21.2,25.1,18.3,37.4,59.79
15/04/2020,17.6,24.5,12.2,0.2,53.38
16/04/2020,17.9,26.9,10.1,0.2,51
17/04/2020,20.1,29.6,11.2,0.2,52.29
18/04/2020,21.8,28.1,16.3,0,51.75
19/04/2020,22.5,29.4,17.1,0,54.67
20/04/2020,23.2,30,17.9,0,56.04
21/04/2020,23.7,30.4,18.6,0,54.33
22/04/2020,22.3,29.8,15.9,0,52.38
23/04/2020,22.2,29.7,16.7,0,50.38
24/04/2020,23.8,30.7,16.4,0,52.46
25/04/2020,26.2,31.3,21,0,55.13
